Извлечение обложек - включено
В Индексе таблицы каталогов отсутсвует 'path'

[root@dsgate py]# ../speed
books   books_min
2841    223.9947

Error extract cover from file: 271403.fb2

Books added      :  2841
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  40  seconds.
         123559147 function calls (112906817 primitive calls) in 760.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5682    0.126    0.000   10.967    0.002 sopdsdb.py:94(findbook)
    15597    0.124    0.000    0.124    0.000 cursor.py:763(_fetch_row)
     5680    0.121    0.000    0.266    0.000 sopdsparse.py:106(reset)
     2840    0.114    0.000    0.114    0.000 {method 'close' of '_io.BufferedReader' objects}
    26430    0.112    0.000    0.149    0.000 cursor.py:205(_have_unread_result)
    26430    0.109    0.000    0.109    0.000 cursor.py:67(__init__)
    15597    0.109    0.000    0.277    0.000 protocol.py:151(parse_column_count)
     2842    0.109    0.000    0.637    0.000 posixpath.py:452(relpath)
       15    0.104    0.007    0.106    0.007 {built-in method load_dynamic}
    26430    0.100    0.000    9.552    0.000 connection.py:765(is_connected)
    31181    0.099    0.000    0.099    0.000 conversion.py:130(_int_to_mysql)
    26430    0.098    0.000    0.121    0.000 cursor.py:54(remaining)
    26432    0.097    0.000    0.097    0.000 constants.py:675(get_info)
    39760    0.097    0.000    0.097    0.000 sopdsparse.py:14(reset)
     3534    0.095    0.000   48.127    0.014 sopdsdb.py:215(addbauthor)
     3534    0.091    0.000   11.087    0.003 sopdsdb.py:179(findauthor)
    26430    0.088    0.000    0.088    0.000 cursor.py:41(__init__)
     2837    0.086    0.000    0.137    0.000 zipf.py:639(__init__)
    52860    0.080    0.000    0.080    0.000 cursor.py:760(reset)
     1963    0.077    0.000    0.080    0.000 utils.py:189(read_lc_string_list)
    10833    0.075    0.000    0.093    0.000 cursor.py:306(_handle_noresultset)
     3534    0.074    0.000    6.498    0.002 sopdsdb.py:192(findbauthor)
    15597    0.072    0.000    0.327    0.000 cursor.py:661(fetchone)
    11628    0.068    0.000    0.099    0.000 sopdsparse.py:42(getattr)
     3534    0.066    0.000   25.720    0.007 sopdsdb.py:202(addauthor)
     2838    0.064    0.000   38.380    0.014 sopdsdb.py:149(addcover)
       41    0.064    0.002    0.064    0.002 {method 'read' of '_io.FileIO' objects}
    26468    0.061    0.000    0.061    0.000 {built-in method proxy}
     2116    0.061    0.000    0.061    0.000 {method 'close' of '_io.BufferedWriter' objects}
    50195    0.058    0.000    0.058    0.000 sopdsparse.py:39(getvalue)
     2841    0.058    0.000    6.147    0.002 sopdsdb.py:107(finddouble)
     6469    0.057    0.000    0.057    0.000 {built-in method charmap_decode}
    11380    0.054    0.000    0.054    0.000 {method 'split' of 'str' objects}
    19474    0.051    0.000    0.051    0.000 {method 'startswith' of 'str' objects}
     2837    0.049    0.000   11.365    0.004 zipf.py:847(_read2)
     5680    0.048    0.000    0.064    0.000 sopdsparse.py:57(reset)
     2837    0.048    0.000    0.188    0.000 zipf.py:861(close)
     5092    0.046    0.000    0.091    0.000 posixpath.py:71(join)
    10835    0.045    0.000  122.656    0.011 connection.py:1195(_execute_query)
     2841    0.044    0.000    0.044    0.000 {method 'seek' of '_io.BufferedReader' objects}
    26430    0.042    0.000    0.042    0.000 connection.py:1098(_get_getwarnings)
     2842    0.041    0.000    0.061    0.000 genericpath.py:68(commonprefix)
     1963    0.037    0.000    0.131    0.000 cursor.py:290(_row_to_python)
     2857    0.037    0.000    0.056    0.000 genericpath.py:85(_splitext)
     2837    0.036    0.000    2.623    0.001 zipf.py:771(_update_crc)
     2837    0.035    0.000    0.046    0.000 zipf.py:316(__init__)
     2837    0.034    0.000   35.633    0.013 zipf.py:738(read)
     5686    0.034    0.000    0.378    0.000 posixpath.py:377(abspath)
    10833    0.033    0.000  122.688    0.011 connection.py:1187(commit)
     2839    0.033    0.000    0.033    0.000 {built-in method ParserCreate}
    10787    0.031    0.000    0.062    0.000 posixpath.py:38(_get_sep)
     1963    0.031    0.000    0.091    0.000 conversion.py:242(to_python)
       41    0.030    0.001    0.030    0.001 {built-in method loads}
     5686    0.027    0.000    0.075    0.000 posixpath.py:61(isabs)
     2837    0.026    0.000    0.026    0.000 {function ZipExtFile.close at 0xb6f6afa4}
     5674    0.026    0.000    0.053    0.000 cp866.py:14(decode)
     1963    0.026    0.000    0.028    0.000 constants.py:55(get_info)
     5674    0.025    0.000    0.032    0.000 zipf.py:1069(getinfo)
     2837    0.025    0.000    0.025    0.000 {method 'flush' of 'zlib.Decompress' objects}
    16276    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
     8527    0.023    0.000    0.023    0.000 {built-in method max}
     2857    0.021    0.000    0.087    0.000 posixpath.py:118(splitext)
    11348    0.020    0.000    0.020    0.000 {method 'read' of '_io.BytesIO' objects}
     2187    0.020    0.000    0.025    0.000 sre_parse.py:185(__next)
     2117    0.020    0.000    1.480    0.001 base64.py:70(b64decode)
     2837    0.019    0.000    0.019    0.000 {built-in method decompressobj}
     5723    0.019    0.000    0.019    0.000 {method 'rfind' of 'str' objects}
     6599    0.019    0.000    0.019    0.000 {method 'join' of 'str' objects}
     5942    0.019    0.000    0.019    0.000 {built-in method min}
     2837    0.017    0.000    0.036    0.000 zipf.py:608(_get_decompressor)
