
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  12  minutes,  51  seconds.
         124279192 function calls (113630511 primitive calls) in 771.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   646705  137.483    0.000  137.483    0.000 {method 'recv' of '_socket.socket' objects}
     2837  125.720    0.044  551.572    0.194 sopdsparse.py:181(parse)
 17753894   90.986    0.000  150.611    0.000 sopdsparse.py:171(char_data)
 17753894   54.961    0.000  205.572    0.000 pyexpat.c:372(CharacterData)
 17753894   49.340    0.000   57.651    0.000 sopdsparse.py:85(add_data)
  5639241   43.204    0.000   80.354    0.000 sopdsparse.py:140(end_element)
  5641989   38.244    0.000   86.941    0.000 sopdsparse.py:118(start_element)
  6215528   25.080    0.000   25.080    0.000 sopdsparse.py:19(tagopen)
5641982/632745   21.508    0.000   12.049    0.000 pyexpat.c:497(StartElement)
     2837   21.460    0.008   21.460    0.008 {method 'decompress' of 'zlib.Decompress' objects}
5636528/775   21.090    0.000    0.014    0.000 pyexpat.c:549(EndElement)
  5641982   17.756    0.000   40.851    0.000 sopdsparse.py:64(tagopen)
  5639241   17.327    0.000   29.563    0.000 sopdsparse.py:74(tagclose)
  6195597   13.356    0.000   13.356    0.000 sopdsparse.py:30(tagclose)
 11392458   12.348    0.000   12.348    0.000 {method 'lower' of 'str' objects}
     2837    8.947    0.003   34.457    0.012 {method 'Parse' of 'pyexpat.xmlparser' objects}
     8570    8.053    0.001    8.053    0.001 {method 'read' of '_io.BufferedReader' objects}
   129341    5.907    0.000  144.448    0.001 network.py:167(recv_plain)
  1981511    4.595    0.000    4.595    0.000 {method 'strip' of 'str' objects}
  1979212    3.827    0.000    3.827    0.000 {built-in method repr}
   322350    2.891    0.000    4.795    0.000 utils.py:31(intread)
    69304    2.819    0.000    2.819    0.000 {method 'sendall' of '_socket.socket' objects}
     5674    2.631    0.000    2.631    0.000 {built-in method crc32}
   919675    2.310    0.000    2.312    0.000 {built-in method isinstance}
    29237    2.112    0.000    6.788    0.000 cursor.py:263(_process_params)
  1172445    1.917    0.000    1.975    0.000 sopdsparse.py:35(setvalue)
   318395    1.665    0.000    6.388    0.000 utils.py:241(read_int)
     2115    1.445    0.001    1.445    0.001 {built-in method a2b_base64}
    50888    1.369    0.000    5.598    0.000 protocol.py:131(parse_ok)
    29238    1.350    0.000   45.236    0.002 cursor.py:363(execute)
1455153/1455082    1.349    0.000    1.349    0.000 {built-in method len}
    69302    1.187    0.000  147.285    0.002 connection.py:381(_send_cmd)
    29237    1.157    0.000    1.542    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   120190    1.156    0.000    1.323    0.000 utils.py:254(read_lc_int)
    18414    1.057    0.000    3.428    0.000 protocol.py:155(parse_column)
5554/2837    0.996    0.000  758.396    0.267 sopds-scan.py:91(processfile)
    69304    0.928    0.000    1.493    0.000 network.py:40(_prepare_packets)
    86846    0.928    0.000    2.064    0.000 conversion.py:126(to_mysql)
    40064    0.925    0.000   11.618    0.000 connection.py:492(_handle_result)
   369649    0.885    0.000    0.885    0.000 {built-in method unpack}
    86846    0.807    0.000    1.464    0.000 conversion.py:82(escape)
    69304    0.786    0.000    5.098    0.000 network.py:93(send_plain)
    86846    0.693    0.000    1.148    0.000 conversion.py:110(quote)
   207916    0.608    0.000    0.608    0.000 {built-in method pack}
   113321    0.565    0.000    0.565    0.000 utils.py:137(read_lc_string)
    87716    0.486    0.000    0.728    0.000 connection.py:432(_toggle_have_next_result)
    29238    0.469    0.000   12.082    0.000 connection.py:1147(cursor)
    58475    0.464    0.000    0.547    0.000 cursor.py:194(_reset_result)
   129039    0.456    0.000    0.456    0.000 {method 'encode' of 'str' objects}
    50888    0.444    0.000    6.475    0.000 connection.py:442(_handle_ok)
     4954    0.438    0.000    0.438    0.000 {built-in method open}
    40064    0.434    0.000  152.682    0.004 connection.py:576(cmd_query)
     2115    0.424    0.000    0.424    0.000 {method 'write' of '_io.BufferedWriter' objects}
    86846    0.385    0.000    0.385    0.000 cursor.py:45(__call__)
    36828    0.383    0.000    1.949    0.000 protocol.py:183(parse_eof)
    92325    0.377    0.000    0.377    0.000 {method 'format' of 'str' objects}
    29238    0.366    0.000    4.919    0.000 cursor.py:323(_handle_result)
   102894    0.361    0.000    0.463    0.000 connection.py:1010(_set_unread_result)
   334164    0.351    0.000    0.351    0.000 {method 'replace' of 'bytes' objects}
    29238    0.320    0.000    0.693    0.000 cursor.py:167(__init__)
    18414    0.310    0.000    3.146    0.000 protocol.py:215(read_text_result)
    69303    0.304    0.000    0.774    0.000 protocol.py:95(make_command)
    69305    0.262    0.000    0.470    0.000 utils.py:48(int1store)
    92162    0.256    0.000    0.256    0.000 {built-in method getattr}
    18414    0.255    0.000    4.287    0.000 cursor.py:750(_handle_resultset)
    18414    0.242    0.000    3.640    0.000 connection.py:530(get_rows)
    87716    0.241    0.000    0.241    0.000 constants.py:32(flag_is_set)
    29238    0.235    0.000    0.928    0.000 cursor.py:745(__init__)
     2837    0.230    0.000   32.438    0.011 zipf.py:811(_read1)
    29237    0.212    0.000    0.717    0.000 cursor.py:228(close)
    55694    0.200    0.000    0.343    0.000 conversion.py:139(_str_to_mysql)
    29238    0.198    0.000   10.570    0.000 connection.py:735(cmd_ping)
    18414    0.196    0.000    0.304    0.000 cursor.py:625(_handle_eof)
     4795    0.181    0.000    0.188    0.000 utils.py:189(read_lc_string_list)
   146192    0.179    0.000    0.179    0.000 connection.py:1022(_get_unread_result)
    29238    0.175    0.000    0.283    0.000 connection.py:931(charset)
    29238    0.170    0.000    0.238    0.000 cursor.py:187(_set_connection)
    26927    0.169    0.000    0.226    0.000 {method 'decode' of 'bytes' objects}
    18414    0.166    0.000    1.279    0.000 connection.py:459(_handle_eof)
   128029    0.161    0.000    0.161    0.000 {method 'append' of 'list' objects}
     5678    0.161    0.000    0.271    0.000 posixpath.py:340(normpath)
    29237    0.156    0.000    0.195    0.000 cursor.py:205(_have_unread_result)
     2837    0.154    0.000    0.691    0.000 zipf.py:1110(open)
        1    0.140    0.140    0.288    0.288 zipf.py:960(_RealGetContents)
     2837    0.138    0.000   41.141    0.015 sopds-scan.py:62(create_cover)
    18414    0.138    0.000    0.138    0.000 cursor.py:763(_fetch_row)
    29238    0.135    0.000    0.135    0.000 cursor.py:67(__init__)
     2837    0.134    0.000   58.677    0.021 sopdsdb.py:130(addbook)
     5674    0.131    0.000    0.273    0.000 sopdsparse.py:106(reset)
     5674    0.131    0.000   11.111    0.002 sopdsdb.py:94(findbook)
    18414    0.129    0.000    0.333    0.000 protocol.py:151(parse_column_count)
     2838    0.117    0.000    0.117    0.000 {method 'close' of '_io.BufferedReader' objects}
    29238    0.114    0.000   10.684    0.000 connection.py:765(is_connected)
    29237    0.112    0.000    0.112    0.000 cursor.py:41(__init__)
     2838    0.110    0.000    0.647    0.000 posixpath.py:452(relpath)
    29240    0.107    0.000    0.107    0.000 constants.py:675(get_info)
    29237    0.107    0.000    0.133    0.000 cursor.py:54(remaining)
    31152    0.101    0.000    0.101    0.000 conversion.py:130(_int_to_mysql)
     3532    0.096    0.000   48.285    0.014 sopdsdb.py:215(addbauthor)
    39718    0.095    0.000    0.095    0.000 sopdsparse.py:14(reset)
    10824    0.095    0.000    0.112    0.000 cursor.py:306(_handle_noresultset)
     3532    0.092    0.000   11.314    0.003 sopdsdb.py:179(findauthor)
     4795    0.088    0.000    0.095    0.000 constants.py:55(get_info)
    18414    0.087    0.000    0.554    0.000 cursor.py:661(fetchone)
     2837    0.086    0.000    0.137    0.000 zipf.py:639(__init__)
    58475    0.083    0.000    0.083    0.000 cursor.py:760(reset)
     4795    0.081    0.000    0.329    0.000 cursor.py:290(_row_to_python)
     2838    0.075    0.000    5.407    0.002 sopdsdb.py:224(findcat)
     3532    0.074    0.000    6.577    0.002 sopdsdb.py:192(findbauthor)
     3532    0.074    0.000   25.911    0.007 sopdsdb.py:202(addauthor)
     4795    0.073    0.000    0.239    0.000 conversion.py:242(to_python)
    11618    0.069    0.000    0.101    0.000 sopdsparse.py:42(getattr)
    29276    0.068    0.000    0.068    0.000 {built-in method proxy}
     2837    0.067    0.000   38.596    0.014 sopdsdb.py:149(addcover)
