
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  6  minutes,  9  seconds.
         10984503 function calls (10890734 primitive calls) in 369.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5674    0.110    0.000    0.194    0.000 sopdsparse.py:101(reset)
    26403    0.108    0.000    0.108    0.000 constants.py:675(get_info)
    26400    0.107    0.000    0.136    0.000 cursor.py:54(remaining)
     3532    0.105    0.000   12.983    0.004 sopdsdb.py:179(findauthor)
    28315    0.104    0.000    0.104    0.000 conversion.py:130(_int_to_mysql)
    26400    0.100    0.000    0.100    0.000 cursor.py:41(__init__)
    18414    0.099    0.000    0.592    0.000 cursor.py:661(fetchone)
    52801    0.098    0.000    0.098    0.000 cursor.py:760(reset)
     4795    0.097    0.000    0.335    0.000 cursor.py:290(_row_to_python)
     2837    0.095    0.000    0.152    0.000 zipf.py:639(__init__)
     3532    0.087    0.000    7.189    0.002 sopdsdb.py:192(findbauthor)
     2838    0.086    0.000    6.770    0.002 sopdsdb.py:224(findcat)
     3532    0.084    0.000   63.235    0.018 sopdsdb.py:202(addauthor)
    28370    0.084    0.000    0.084    0.000 sopdsparse.py:14(reset)
     4795    0.083    0.000    0.230    0.000 conversion.py:242(to_python)
     7987    0.076    0.000    0.091    0.000 cursor.py:306(_handle_noresultset)
    15768    0.076    0.000    0.076    0.000 {method 'strip' of 'str' objects}
     2837    0.074    0.000    6.619    0.002 sopdsdb.py:107(finddouble)
    26439    0.069    0.000    0.069    0.000 {built-in method proxy}
    50196    0.067    0.000    0.067    0.000 sopdsparse.py:39(getvalue)
     2837    0.066    0.000   10.782    0.004 zipf.py:847(_read2)
     6468    0.061    0.000    0.061    0.000 {built-in method charmap_decode}
    11364    0.060    0.000    0.060    0.000 {method 'split' of 'str' objects}
     4795    0.056    0.000    0.065    0.000 constants.py:55(get_info)
     2837    0.054    0.000    3.062    0.001 zipf.py:771(_update_crc)
     2837    0.052    0.000    0.204    0.000 zipf.py:861(close)
    26401    0.050    0.000    0.050    0.000 connection.py:1098(_get_getwarnings)
       41    0.049    0.001    0.049    0.001 {method 'read' of '_io.FileIO' objects}
     2841    0.047    0.000    0.047    0.000 {method 'seek' of '_io.BufferedReader' objects}
     2838    0.046    0.000    0.068    0.000 genericpath.py:68(commonprefix)
    17208    0.044    0.000    0.044    0.000 {method 'startswith' of 'str' objects}
     2838    0.042    0.000    0.065    0.000 genericpath.py:85(_splitext)
     7989    0.041    0.000  239.375    0.030 connection.py:1195(_execute_query)
       41    0.041    0.001    0.041    0.001 {built-in method loads}
     5678    0.040    0.000    0.442    0.000 posixpath.py:377(abspath)
     2837    0.039    0.000    0.051    0.000 zipf.py:316(__init__)
     8517    0.038    0.000    0.038    0.000 {method 'rfind' of 'str' objects}
     2837    0.038    0.000   38.765    0.014 zipf.py:738(read)
     7987    0.038    0.000  239.411    0.030 connection.py:1187(commit)
    11369    0.036    0.000    0.073    0.000 posixpath.py:38(_get_sep)
     2837    0.035    0.000    0.035    0.000 {built-in method ParserCreate}
     5674    0.034    0.000    0.042    0.000 zipf.py:1069(getinfo)
     5678    0.033    0.000    0.086    0.000 posixpath.py:61(isabs)
     4795    0.032    0.000    0.032    0.000 conversion.py:287(_LONG_to_python)
     5674    0.030    0.000    0.060    0.000 cp866.py:14(decode)
     2837    0.029    0.000    0.029    0.000 {method 'flush' of 'zlib.Decompress' objects}
     2838    0.028    0.000    0.103    0.000 posixpath.py:118(splitext)
     2840    0.027    0.000    0.062    0.000 posixpath.py:102(split)
     2187    0.027    0.000    0.033    0.000 sre_parse.py:185(__next)
2838/2837    0.027    0.000    6.807    0.002 sopdsdb.py:238(addcattree)
     2837    0.026    0.000    0.174    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
     8523    0.026    0.000    0.026    0.000 {built-in method max}
     2837    0.026    0.000    0.026    0.000 {function ZipExtFile.close at 0xb6f51f14}
     2837    0.024    0.000    0.030    0.000 pyexpat.c:593(XmlDecl)
    11348    0.023    0.000    0.023    0.000 {method 'read' of '_io.BytesIO' objects}
     6591    0.021    0.000    0.022    0.000 {method 'join' of 'str' objects}
     2837    0.021    0.000    0.021    0.000 {built-in method decompressobj}
     5938    0.021    0.000    0.021    0.000 {built-in method min}
     2837    0.020    0.000    0.041    0.000 zipf.py:608(_get_decompressor)
     2850    0.016    0.000    0.034    0.000 posixpath.py:71(join)
    74/22    0.016    0.000    0.068    0.003 sre_parse.py:431(_parse)
     2838    0.014    0.000    0.014    0.000 posixpath.py:470(<listcomp>)
     2838    0.013    0.000    0.013    0.000 posixpath.py:471(<listcomp>)
      168    0.013    0.000    0.061    0.000 {built-in method __build_class__}
      761    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap>:74(_path_join)
      155    0.012    0.000    0.036    0.000 <frozen importlib._bootstrap>:1352(find_loader)
     2013    0.010    0.000    0.040    0.000 sre_parse.py:210(get)
     4838    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
     2837    0.009    0.000    0.009    0.000 zipf.py:410(_decodeExtra)
     46/1    0.009    0.000    0.408    0.408 {built-in method exec}
     5858    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
        2    0.008    0.004    0.018    0.009 sre_compile.py:302(_optimize_unicode)
     4795    0.008    0.000    0.008    0.000 cursor.py:106(description)
     3196    0.008    0.000    0.008    0.000 {built-in method hasattr}
     41/9    0.008    0.000    0.458    0.051 <frozen importlib._bootstrap>:850(_load_module)
     4455    0.008    0.000    0.008    0.000 cursor.py:143(lastrowid)
     2877    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
     2961    0.006    0.000    0.006    0.000 {built-in method chr}
      512    0.006    0.000    0.006    0.000 {method 'setdefault' of 'dict' objects}
     2837    0.006    0.000    0.006    0.000 sopdsparse.py:113(xmldecl)
      789    0.006    0.000    0.037    0.000 cp1251.py:14(decode)
   132/20    0.005    0.000    0.024    0.001 sre_compile.py:33(_compile)
      285    0.005    0.000    0.005    0.000 {built-in method stat}
   178/74    0.004    0.000    0.005    0.000 sre_parse.py:142(getwidth)
      2/1    0.003    0.002    0.120    0.120 sopds-scan.py:4(<module>)
      506    0.003    0.000    0.005    0.000 sre_parse.py:132(__getitem__)
       57    0.003    0.000    0.047    0.001 <frozen importlib._bootstrap>:1473(_find_module)
       41    0.003    0.000    0.102    0.002 <frozen importlib._bootstrap>:935(get_code)
       36    0.003    0.000    0.023    0.001 sre_compile.py:208(_optimize_charset)
        1    0.003    0.003    0.028    0.028 configparser.py:986(_read)
       15    0.003    0.000    0.003    0.000 sre_compile.py:259(_mk_bitmap)
      808    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:486(_verbose_message)
       56    0.003    0.000    0.041    0.001 <frozen importlib._bootstrap>:1278(_get_loader)
       41    0.002    0.000    0.052    0.001 <frozen importlib._bootstrap>:1031(get_data)
        1    0.002    0.002    0.002    0.002 zipf.py:460(_GenerateCRCTable)
      184    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:86(_path_split)
       41    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:804(_bytes_from_bytecode)
    65/20    0.002    0.000    0.068    0.003 sre_parse.py:353(_parse_sub)
     57/9    0.002    0.000    0.463    0.051 <frozen importlib._bootstrap>:1509(_find_and_load_unlocked)
      397    0.002    0.000    0.004    0.000 sre_parse.py:204(match)
       82    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:415(cache_from_source)
       79    0.001    0.000    0.021    0.000 codecs.py:509(readline)
       67    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:266(_get_module_lock)
       82    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:796(is_package)
       14    0.001    0.000    0.004    0.000 abc.py:129(__new__)
    220/9    0.001    0.000    0.459    0.051 <frozen importlib._bootstrap>:581(_check_name_wrapper)
     25/6    0.001    0.000    0.003    0.001 abc.py:191(__subclasscheck__)
       44    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x49412f60}
        1    0.001    0.001    0.001    0.001 zipf.py:1040(<listcomp>)
     57/9    0.001    0.000    0.464    0.052 <frozen importlib._bootstrap>:1559(_find_and_load)
