
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  18  minutes,  57  seconds.
         186949174 function calls (181072927 primitive calls) in 1137.778 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 27135028  201.062    0.000  342.926    0.000 sopdsparse.py:161(char_data)
   646705  191.051    0.000  191.051    0.000 {method 'recv' of '_socket.socket' objects}
     2837  178.403    0.063  860.149    0.303 {method 'Parse' of 'pyexpat.xmlparser' objects}
 27135028   88.874    0.000  431.800    0.000 pyexpat.c:372(CharacterData)
 27135031   81.062    0.000   81.062    0.000 {built-in method repr}
 27135028   54.348    0.000   59.012    0.000 sopdsparse.py:80(add_data)
  6572369   47.416    0.000   99.090    0.000 sopdsparse.py:135(end_element)
  6572404   43.827    0.000  102.570    0.000 sopdsparse.py:113(start_element)
  7145943   32.406    0.000   32.406    0.000 sopdsparse.py:19(tagopen)
6572397/697128   25.458    0.000   13.561    0.000 pyexpat.c:497(StartElement)
  6572369   24.708    0.000   43.141    0.000 sopdsparse.py:71(tagclose)
  6572369   22.767    0.000  121.857    0.000 pyexpat.c:549(EndElement)
     2837   21.397    0.008   21.397    0.008 {method 'decompress' of 'zlib.Decompress' objects}
  6572397   19.827    0.000   50.407    0.000 sopdsparse.py:61(tagopen)
  7128725   19.581    0.000   19.581    0.000 sopdsparse.py:30(tagclose)
 13266547   13.838    0.000   13.838    0.000 {method 'lower' of 'str' objects}
     8570   10.607    0.001   10.607    0.001 {method 'read' of '_io.BufferedReader' objects}
   129341    5.943    0.000  198.043    0.002 network.py:167(recv_plain)
  1991685    4.740    0.000    4.740    0.000 {method 'strip' of 'str' objects}
   322350    2.845    0.000    4.746    0.000 utils.py:31(intread)
    69304    2.668    0.000    2.668    0.000 {method 'sendall' of '_socket.socket' objects}
     5674    2.623    0.000    2.623    0.000 {built-in method crc32}
   919809    2.268    0.000    2.269    0.000 {built-in method isinstance}
    29237    2.101    0.000    6.781    0.000 cursor.py:263(_process_params)
  1172445    1.768    0.000    1.790    0.000 sopdsparse.py:35(setvalue)
   318395    1.655    0.000    6.330    0.000 utils.py:241(read_int)
    50888    1.382    0.000    5.617    0.000 protocol.py:131(parse_ok)
1465699/1465628    1.343    0.000    1.344    0.000 {built-in method len}
     2121    1.339    0.001    1.339    0.001 {built-in method a2b_base64}
    29238    1.326    0.000   45.703    0.002 cursor.py:363(execute)
    29237    1.172    0.000    1.551    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   120190    1.168    0.000    1.334    0.000 utils.py:254(read_lc_int)
    69302    1.144    0.000  200.683    0.003 connection.py:381(_send_cmd)
    18414    1.045    0.000    3.389    0.000 protocol.py:155(parse_column)
    69304    0.960    0.000    1.514    0.000 network.py:40(_prepare_packets)
    40064    0.924    0.000   11.530    0.000 connection.py:492(_handle_result)
    86846    0.909    0.000    2.050    0.000 conversion.py:126(to_mysql)
   369649    0.886    0.000    0.886    0.000 {built-in method unpack}
2841/2837    0.862    0.000 1136.276    0.401 sopds-scan.py:91(processfile)
    86846    0.835    0.000    1.511    0.000 conversion.py:82(escape)
    69304    0.794    0.000    4.976    0.000 network.py:93(send_plain)
    86846    0.683    0.000    1.119    0.000 conversion.py:110(quote)
     4960    0.611    0.000    0.611    0.000 {built-in method open}
   207916    0.592    0.000    0.592    0.000 {built-in method pack}
   113321    0.560    0.000    0.560    0.000 utils.py:137(read_lc_string)
     2837    0.480    0.000  895.511    0.316 sopdsparse.py:174(parse)
    29238    0.475    0.000   11.967    0.000 connection.py:1147(cursor)
   129045    0.463    0.000    0.463    0.000 {method 'encode' of 'str' objects}
    50888    0.439    0.000    6.458    0.000 connection.py:442(_handle_ok)
    40064    0.436    0.000  206.035    0.005 connection.py:576(cmd_query)
    87716    0.435    0.000    0.664    0.000 connection.py:432(_toggle_have_next_result)
    58475    0.421    0.000    0.509    0.000 cursor.py:194(_reset_result)
    92325    0.394    0.000    0.394    0.000 {method 'format' of 'str' objects}
    36828    0.390    0.000    1.932    0.000 protocol.py:183(parse_eof)
    86846    0.379    0.000    0.379    0.000 cursor.py:45(__call__)
   334164    0.371    0.000    0.371    0.000 {method 'replace' of 'bytes' objects}
     2121    0.369    0.000    0.369    0.000 {method 'close' of '_io.BufferedWriter' objects}
   102894    0.357    0.000    0.454    0.000 connection.py:1010(_set_unread_result)
    29238    0.340    0.000    4.841    0.000 cursor.py:323(_handle_result)
    18414    0.308    0.000    3.138    0.000 protocol.py:215(read_text_result)
    29238    0.290    0.000    0.636    0.000 cursor.py:167(__init__)
    69303    0.289    0.000    0.751    0.000 protocol.py:95(make_command)
     2121    0.279    0.000    0.279    0.000 {method 'write' of '_io.BufferedWriter' objects}
    69305    0.261    0.000    0.462    0.000 utils.py:48(int1store)
    18414    0.253    0.000    3.625    0.000 connection.py:530(get_rows)
    92162    0.250    0.000    0.250    0.000 {built-in method getattr}
    18414    0.246    0.000    4.242    0.000 cursor.py:750(_handle_resultset)
    87716    0.229    0.000    0.229    0.000 constants.py:32(flag_is_set)
     2837    0.222    0.000   34.846    0.012 zipf.py:811(_read1)
    29238    0.207    0.000    0.843    0.000 cursor.py:745(__init__)
   146192    0.200    0.000    0.200    0.000 connection.py:1022(_get_unread_result)
    29238    0.199    0.000   10.536    0.000 connection.py:735(cmd_ping)
    55694    0.192    0.000    0.339    0.000 conversion.py:139(_str_to_mysql)
    29237    0.189    0.000    0.652    0.000 cursor.py:228(close)
    18414    0.176    0.000    0.284    0.000 cursor.py:625(_handle_eof)
     4795    0.175    0.000    0.183    0.000 utils.py:189(read_lc_string_list)
    29238    0.171    0.000    0.240    0.000 cursor.py:187(_set_connection)
    26927    0.169    0.000    0.228    0.000 {method 'decode' of 'bytes' objects}
     5678    0.159    0.000    0.269    0.000 posixpath.py:340(normpath)
   128029    0.159    0.000    0.159    0.000 {method 'append' of 'list' objects}
     2837    0.156    0.000    0.779    0.000 zipf.py:1110(open)
    18414    0.155    0.000    1.249    0.000 connection.py:459(_handle_eof)
    29238    0.154    0.000    0.256    0.000 connection.py:931(charset)
     2837    0.143    0.000   78.439    0.028 sopds-scan.py:62(create_cover)
    18414    0.139    0.000    0.139    0.000 cursor.py:763(_fetch_row)
        1    0.136    0.136    0.282    0.282 zipf.py:960(_RealGetContents)
    29237    0.133    0.000    0.175    0.000 cursor.py:205(_have_unread_result)
    18414    0.133    0.000    0.333    0.000 protocol.py:151(parse_column_count)
     2837    0.129    0.000   58.772    0.021 sopdsdb.py:130(addbook)
     5674    0.127    0.000   10.923    0.002 sopdsdb.py:94(findbook)
     5674    0.125    0.000    0.259    0.000 sopdsparse.py:101(reset)
     2838    0.125    0.000    0.125    0.000 {method 'close' of '_io.BufferedReader' objects}
    29237    0.120    0.000    0.120    0.000 cursor.py:41(__init__)
    22060    0.116    0.000    0.172    0.000 sopdsparse.py:42(getattr)
    29238    0.112    0.000   10.649    0.000 connection.py:765(is_connected)
     2838    0.110    0.000    0.636    0.000 posixpath.py:452(relpath)
