
Books added      :  2837
Books skipped    :  0
Books in archives:  2837
Archives scanned :  1
Archives skipped :  0
Time estimated: 0  hours,  3  minutes,  32  seconds.
         10759996 function calls (10666227 primitive calls) in 213.245 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   604150  119.090    0.000  119.090    0.000 {method 'recv' of '_socket.socket' objects}
     2837   21.376    0.008   21.376    0.008 {method 'decompress' of 'zlib.Decompress' objects}
     8570    7.981    0.001    7.981    0.001 {method 'read' of '_io.BufferedReader' objects}
   120830    5.532    0.000  125.596    0.001 network.py:167(recv_plain)
     2837    4.668    0.002   16.946    0.006 sopdsparse.py:181(parse)
   234541    2.687    0.000    4.657    0.000 sopdsparse.py:171(char_data)
     5674    2.645    0.000    2.645    0.000 {built-in method crc32}
   296817    2.627    0.000    4.428    0.000 utils.py:31(intread)
    60793    2.539    0.000    2.539    0.000 {method 'sendall' of '_socket.socket' objects}
   841556    2.129    0.000    2.130    0.000 {built-in method isinstance}
  1172705    1.911    0.000    1.970    0.000 sopdsparse.py:35(setvalue)
    26400    1.883    0.000    6.175    0.000 cursor.py:263(_process_params)
   478300    1.744    0.000    1.744    0.000 sopdsparse.py:19(tagopen)
    92823    1.525    0.000    2.686    0.000 sopdsparse.py:140(end_element)
   292862    1.518    0.000    5.875    0.000 utils.py:241(read_int)
    95660    1.511    0.000    3.355    0.000 sopdsparse.py:118(start_element)
    26401    1.223    0.000   40.831    0.002 cursor.py:363(execute)
1328429/1328358    1.219    0.000    1.219    0.000 {built-in method len}
    42377    1.105    0.000    4.600    0.000 protocol.py:131(parse_ok)
    60791    1.077    0.000  127.653    0.002 connection.py:381(_send_cmd)
    18414    1.062    0.000    3.432    0.000 protocol.py:155(parse_column)
    26400    1.042    0.000    1.388    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   464115    1.014    0.000    1.014    0.000 sopdsparse.py:30(tagclose)
   103168    0.980    0.000    1.133    0.000 utils.py:254(read_lc_int)
5671/2837    0.897    0.000  199.387    0.070 sopds-scan.py:91(processfile)
    34390    0.880    0.000   10.800    0.000 connection.py:492(_handle_result)
    60793    0.841    0.000    1.325    0.000 network.py:40(_prepare_packets)
    78335    0.831    0.000    1.882    0.000 conversion.py:126(to_mysql)
   344116    0.827    0.000    0.827    0.000 {built-in method unpack}
    78335    0.755    0.000    1.379    0.000 conversion.py:82(escape)
   234541    0.738    0.000    5.395    0.000 pyexpat.c:372(CharacterData)
    60793    0.733    0.000    4.596    0.000 network.py:93(send_plain)
    78335    0.629    0.000    1.030    0.000 conversion.py:110(quote)
   110484    0.545    0.000    0.545    0.000 utils.py:137(read_lc_string)
   182383    0.529    0.000    0.529    0.000 {built-in method pack}
    52801    0.437    0.000    0.520    0.000 cursor.py:194(_reset_result)
    26401    0.424    0.000   10.796    0.000 connection.py:1147(cursor)
    95660    0.421    0.000    3.776    0.000 pyexpat.c:497(StartElement)
    79205    0.399    0.000    0.600    0.000 connection.py:432(_toggle_have_next_result)
    36828    0.388    0.000    1.956    0.000 protocol.py:183(parse_eof)
    34390    0.380    0.000  132.858    0.004 connection.py:576(cmd_query)
    42377    0.373    0.000    5.306    0.000 connection.py:442(_handle_ok)
    83812    0.361    0.000    0.361    0.000 {method 'format' of 'str' objects}
   112739    0.347    0.000    0.347    0.000 {method 'encode' of 'str' objects}
    78335    0.346    0.000    0.346    0.000 cursor.py:45(__call__)
   100057    0.346    0.000    0.442    0.000 connection.py:1010(_set_unread_result)
   300120    0.335    0.000    0.335    0.000 {method 'replace' of 'bytes' objects}
 89986/25    0.334    0.000    0.001    0.000 pyexpat.c:549(EndElement)
   285308    0.332    0.000    0.332    0.000 {method 'lower' of 'str' objects}
    26401    0.329    0.000    4.818    0.000 cursor.py:323(_handle_result)
    18414    0.326    0.000    3.192    0.000 protocol.py:215(read_text_result)
    60792    0.276    0.000    0.683    0.000 protocol.py:95(make_command)
    26401    0.271    0.000    0.620    0.000 cursor.py:167(__init__)
    18414    0.249    0.000    3.675    0.000 connection.py:530(get_rows)
    83651    0.240    0.000    0.240    0.000 {built-in method getattr}
    18414    0.236    0.000    4.290    0.000 cursor.py:750(_handle_resultset)
    60794    0.223    0.000    0.407    0.000 utils.py:48(int1store)
